fixture_ref,dut_connector,dut_pin,dut_pad,signal,x_mm,y_mm,breakout_pin
S2:1,J2,1,1,+5V,21.37,45.01,J6:1
S2:2,J2,1,2,+5V,21.37,47.55,J6:1
S2:3,J2,2,3,+3V3,23.91,45.01,J6:2
S2:4,J2,2,4,+3V3,23.91,47.55,J6:2
S2:5,J2,3,5,CRESET_B,26.45,45.01,J6:5
S2:6,J2,3,6,+3V3,26.45,47.55,J6:2
S2:7,J2,4,7,GND,28.99,45.01,J6:3
S2:8,J2,4,8,+3V3,28.99,47.55,J6:2
S2:9,J2,5,9,GPIO1,31.53,45.01,PMOD1:1
S2:10,J2,5,10,GPIO5,31.53,47.55,PMOD1:7
S2:11,J2,6,11,GPIO2,34.07,45.01,PMOD1:2
S2:12,J2,6,12,GPIO6,34.07,47.55,PMOD1:8
S2:13,J2,7,13,GPIO3,36.61,45.01,PMOD1:3
S2:14,J2,7,14,GPIO7,36.61,47.55,PMOD1:9
S2:15,J2,8,15,GPIO4,39.15,45.01,PMOD1:4
S2:16,J2,8,16,GPIO8,39.15,47.55,PMOD1:10
S2:17,J2,9,17,GND,41.69,45.01,J6:3
S2:18,J2,9,18,+3V3,41.69,47.55,J6:2
S2:19,J2,10,19,GPIO9,44.23,45.01,PMOD2:1
S2:20,J2,10,20,GPIO13,44.23,47.55,PMOD2:7
S2:21,J2,11,21,GPIO10,46.77,45.01,PMOD2:2
S2:22,J2,11,22,GPIO14,46.77,47.55,PMOD2:8
S2:23,J2,12,23,GPIO11,49.31,45.01,PMOD2:3
S2:24,J2,12,24,GPIO15,49.31,47.55,PMOD2:9
S2:25,J2,13,25,GPIO12,51.85,45.01,PMOD2:4
S2:26,J2,13,26,GPIO16,51.85,47.55,PMOD2:10
S2:27,J2,14,27,GND,54.39,45.01,J6:3
S2:28,J2,14,28,+3V3,54.39,47.55,J6:2
S2:29,J2,15,29,GPIO17,56.93,45.01,PMOD3:1
S2:30,J2,15,30,GPIO21,56.93,47.55,PMOD3:7
S2:31,J2,16,31,GPIO18,59.47,45.01,PMOD3:2
S2:32,J2,16,32,GPIO22,59.47,47.55,PMOD3:8
S2:33,J2,17,33,GPIO19,62.01,45.01,PMOD3:3
S2:34,J2,17,34,GPIO23,62.01,47.55,PMOD3:9
S2:35,J2,18,35,GPIO20,64.55,45.01,PMOD3:4
S2:36,J2,18,36,GPIO24,64.55,47.55,PMOD3:10
S2:37,J2,19,37,GND,67.09,45.01,J6:3
S2:38,J2,19,38,+3V3,67.09,47.55,J6:2
S2:39,J2,20,39,GPIO25,69.63,45.01,PMOD4:1
S2:40,J2,20,40,GPIO29,69.63,47.55,PMOD4:7
S2:41,J2,21,41,GPIO26,72.17,45.01,PMOD4:2
S2:42,J2,21,42,GPIO30,72.17,47.55,PMOD4:8
S2:43,J2,22,43,GPIO27,74.71,45.01,PMOD4:3
S2:44,J2,22,44,GPIO31,74.71,47.55,PMOD4:9
S2:45,J2,23,45,GPIO28,77.25,45.01,PMOD4:4
S2:46,J2,23,46,GPIO32,77.25,47.55,PMOD4:10
S2:47,J2,24,47,GND,79.79,45.01,J6:3
S2:48,J2,24,48,+3V3,79.79,47.55,J6:2
S3:1,J3,1,1,GND,79.79,22.15,J6:3
S3:2,J3,1,2,+3V3,79.79,19.61,J6:2
S3:3,J3,2,3,GPIO33,77.25,22.15,PMOD5:1
S3:4,J3,2,4,GPIO37,77.25,19.61,PMOD5:7
S3:5,J3,3,5,GPIO34,74.71,22.15,PMOD5:2
S3:6,J3,3,6,GPIO38,74.71,19.61,PMOD5:8
S3:7,J3,4,7,GPIO35,72.17,22.15,PMOD5:3
S3:8,J3,4,8,GPIO39,72.17,19.61,PMOD5:9
S3:9,J3,5,9,GPIO36,69.63,22.15,PMOD5:4
S3:10,J3,5,10,GPIO40,69.63,19.61,PMOD5:10
S3:11,J3,6,11,GND,67.09,22.15,J6:3
S3:12,J3,6,12,+3V3,67.09,19.61,J6:2
