channel,signal,fpga_ball,fpga_pin_name,bank,connector,position,connector_pad,row,group
1,GPIO_001,G13,IO_0_15,15,J2,5,9,inner,1
2,GPIO_002,B13,IO_L1P_T0_AD0P_15,15,J2,6,11,inner,1
3,GPIO_003,A13,IO_L1N_T0_AD0N_15,15,J2,7,13,inner,1
4,GPIO_004,B14,IO_L2P_T0_AD8P_15,15,J2,8,15,inner,1
5,GPIO_005,A14,IO_L2N_T0_AD8N_15,15,J2,5,10,outer,1
6,GPIO_006,B15,IO_L3P_T0_DQS_AD1P_15,15,J2,6,12,outer,1
7,GPIO_007,A15,IO_L3N_T0_DQS_AD1N_15,15,J2,7,14,outer,1
8,GPIO_008,B16,IO_L4P_T0_15,15,J2,8,16,outer,1
9,GPIO_009,A16,IO_L4N_T0_15,15,J2,10,19,inner,2
10,GPIO_010,E12,IO_L5P_T0_AD9P_15,15,J2,11,21,inner,2
11,GPIO_011,D12,IO_L5N_T0_AD9N_15,15,J2,12,23,inner,2
12,GPIO_012,C13,IO_L6P_T0_15,15,J2,13,25,inner,2
13,GPIO_013,C14,IO_L6N_T0_VREF_15,15,J2,10,20,outer,2
14,GPIO_014,B17,IO_L7P_T1_AD2P_15,15,J2,11,22,outer,2
15,GPIO_015,A17,IO_L7N_T1_AD2N_15,15,J2,12,24,outer,2
16,GPIO_016,C17,IO_L8P_T1_AD10P_15,15,J2,13,26,outer,2
17,GPIO_017,B18,IO_L8N_T1_AD10N_15,15,J2,15,29,inner,3
18,GPIO_018,D16,IO_L9P_T1_DQS_AD3P_15,15,J2,16,31,inner,3
19,GPIO_019,D17,IO_L9N_T1_DQS_AD3N_15,15,J2,17,33,inner,3
20,GPIO_020,E16,IO_L10P_T1_AD11P_15,15,J2,18,35,inner,3
21,GPIO_021,E17,IO_L10N_T1_AD11N_15,15,J2,15,30,outer,3
22,GPIO_022,D18,IO_L11P_T1_SRCC_15,15,J2,16,32,outer,3
23,GPIO_023,C18,IO_L11N_T1_SRCC_15,15,J2,17,34,outer,3
24,GPIO_024,D14,IO_L12P_T1_MRCC_15,15,J2,18,36,outer,3
25,GPIO_025,D15,IO_L12N_T1_MRCC_15,15,J2,20,39,inner,4
26,GPIO_026,F14,IO_L13P_T2_MRCC_15,15,J2,21,41,inner,4
27,GPIO_027,F15,IO_L13N_T2_MRCC_15,15,J2,22,43,inner,4
28,GPIO_028,G16,IO_L14P_T2_SRCC_15,15,J2,23,45,inner,4
29,GPIO_029,G17,IO_L14N_T2_SRCC_15,15,J2,20,40,outer,4
30,GPIO_030,E14,IO_L15P_T2_DQS_15,15,J2,21,42,outer,4
31,GPIO_031,E15,IO_L15N_T2_DQS_15,15,J2,22,44,outer,4
32,GPIO_032,F18,IO_L16P_T2_15,15,J2,23,46,outer,4
33,GPIO_033,E18,IO_L16N_T2_15,15,J3,5,9,inner,5
34,GPIO_034,F13,IO_L17P_T2_15,15,J3,6,11,inner,5
35,GPIO_035,E13,IO_L17N_T2_15,15,J3,7,13,inner,5
36,GPIO_036,H15,IO_L18P_T2_15,15,J3,8,15,inner,5
37,GPIO_037,G15,IO_L18N_T2_15,15,J3,5,10,outer,5
38,GPIO_038,K16,IO_L19P_T3_15,15,J3,6,12,outer,5
39,GPIO_039,J16,IO_L19N_T3_VREF_15,15,J3,7,14,outer,5
40,GPIO_040,H13,IO_L20P_T3_15,15,J3,8,16,outer,5
41,GPIO_041,H14,IO_L20N_T3_15,15,J3,10,19,inner,6
42,GPIO_042,H18,IO_L21P_T3_DQS_15,15,J3,11,21,inner,6
43,GPIO_043,G18,IO_L21N_T3_DQS_15,15,J3,12,23,inner,6
44,GPIO_044,H16,IO_L22P_T3_15,15,J3,13,25,inner,6
45,GPIO_045,H17,IO_L22N_T3_15,15,J3,10,20,outer,6
46,GPIO_046,K14,IO_L23P_T3_15,15,J3,11,22,outer,6
47,GPIO_047,J15,IO_L23N_T3_15,15,J3,12,24,outer,6
48,GPIO_048,J13,IO_L24P_T3_RS1_15,15,J3,13,26,outer,6
49,GPIO_049,J14,IO_L24N_T3_RS0_15,15,J3,15,29,inner,7
50,GPIO_050,K13,IO_25_15,15,J3,16,31,inner,7
51,GPIO_051,J6,IO_0_34,34,J3,17,33,inner,7
52,GPIO_052,K4,IO_L1P_T0_34,34,J3,18,35,inner,7
53,GPIO_053,L4,IO_L1N_T0_34,34,J3,15,30,outer,7
54,GPIO_054,K3,IO_L2P_T0_34,34,J3,16,32,outer,7
55,GPIO_055,K2,IO_L2N_T0_34,34,J3,17,34,outer,7
56,GPIO_056,K1,IO_L3P_T0_DQS_34,34,J3,18,36,outer,7
57,GPIO_057,L1,IO_L3N_T0_DQS_34,34,J3,20,39,inner,8
58,GPIO_058,K6,IO_L4P_T0_34,34,J3,21,41,inner,8
59,GPIO_059,L6,IO_L4N_T0_34,34,J3,22,43,inner,8
60,GPIO_060,L5,IO_L5P_T0_34,34,J3,23,45,inner,8
61,GPIO_061,M4,IO_L5N_T0_34,34,J3,20,40,outer,8
62,GPIO_062,M6,IO_L6P_T0_34,34,J3,21,42,outer,8
63,GPIO_063,M5,IO_L6N_T0_VREF_34,34,J3,22,44,outer,8
64,GPIO_064,M3,IO_L7P_T1_34,34,J3,23,46,outer,8
65,GPIO_065,M2,IO_L7N_T1_34,34,J4,5,9,inner,9
66,GPIO_066,M1,IO_L8P_T1_34,34,J4,6,11,inner,9
67,GPIO_067,N1,IO_L8N_T1_34,34,J4,7,13,inner,9
68,GPIO_068,N3,IO_L9P_T1_DQS_34,34,J4,8,15,inner,9
69,GPIO_069,N2,IO_L9N_T1_DQS_34,34,J4,5,10,outer,9
70,GPIO_070,N5,IO_L10P_T1_34,34,J4,6,12,outer,9
71,GPIO_071,N4,IO_L10N_T1_34,34,J4,7,14,outer,9
72,GPIO_072,P2,IO_L11P_T1_SRCC_34,34,J4,8,16,outer,9
73,GPIO_073,P1,IO_L11N_T1_SRCC_34,34,J4,10,19,inner,10
74,GPIO_074,R2,IO_L12P_T1_MRCC_34,34,J4,11,21,inner,10
75,GPIO_075,R1,IO_L12N_T1_MRCC_34,34,J4,12,23,inner,10
76,GPIO_076,R3,IO_L13P_T2_MRCC_34,34,J4,13,25,inner,10
77,GPIO_077,T2,IO_L13N_T2_MRCC_34,34,J4,10,20,outer,10
78,GPIO_078,T1,IO_L14P_T2_SRCC_34,34,J4,11,22,outer,10
79,GPIO_079,U1,IO_L14N_T2_SRCC_34,34,J4,12,24,outer,10
80,GPIO_080,U3,IO_L15P_T2_DQS_34,34,J4,13,26,outer,10
81,GPIO_081,U2,IO_L15N_T2_DQS_34,34,J4,15,29,inner,11
82,GPIO_082,V3,IO_L16P_T2_34,34,J4,16,31,inner,11
83,GPIO_083,V2,IO_L16N_T2_34,34,J4,17,33,inner,11
84,GPIO_084,V5,IO_L17P_T2_34,34,J4,18,35,inner,11
85,GPIO_085,V4,IO_L17N_T2_34,34,J4,15,30,outer,11
86,GPIO_086,R4,IO_L18P_T2_34,34,J4,16,32,outer,11
87,GPIO_087,T3,IO_L18N_T2_34,34,J4,17,34,outer,11
88,GPIO_088,P6,IO_L19P_T3_34,34,J4,18,36,outer,11
89,GPIO_089,P5,IO_L19N_T3_VREF_34,34,J4,20,39,inner,12
90,GPIO_090,V7,IO_L20P_T3_34,34,J4,21,41,inner,12
91,GPIO_091,V6,IO_L20N_T3_34,34,J4,22,43,inner,12
92,GPIO_092,R5,IO_L21P_T3_DQS_34,34,J4,23,45,inner,12
93,GPIO_093,T4,IO_L21N_T3_DQS_34,34,J4,20,40,outer,12
94,GPIO_094,T6,IO_L22P_T3_34,34,J4,21,42,outer,12
95,GPIO_095,T5,IO_L22N_T3_34,34,J4,22,44,outer,12
96,GPIO_096,R7,IO_L23P_T3_34,34,J4,23,46,outer,12
97,GPIO_097,R6,IO_L23N_T3_34,34,J5,5,9,inner,13
98,GPIO_098,U7,IO_L24P_T3_34,34,J5,6,11,inner,13
99,GPIO_099,U6,IO_L24N_T3_34,34,J5,7,13,inner,13
100,GPIO_100,P7,IO_25_34,34,J5,8,15,inner,13
101,GPIO_101,F6,IO_0_35,35,J5,5,10,outer,13
102,GPIO_102,A8,IO_L1P_T0_AD4P_35,35,J5,6,12,outer,13
103,GPIO_103,A7,IO_L1N_T0_AD4N_35,35,J5,7,14,outer,13
104,GPIO_104,C5,IO_L2P_T0_AD12P_35,35,J5,8,16,outer,13
105,GPIO_105,B5,IO_L2N_T0_AD12N_35,35,J5,10,19,inner,14
106,GPIO_106,D7,IO_L3P_T0_DQS_AD5P_35,35,J5,11,21,inner,14
107,GPIO_107,C7,IO_L3N_T0_DQS_AD5N_35,35,J5,12,23,inner,14
108,GPIO_108,B7,IO_L4P_T0_35,35,J5,13,25,inner,14
109,GPIO_109,A6,IO_L4N_T0_35,35,J5,10,20,outer,14
110,GPIO_110,E6,IO_L5P_T0_AD13P_35,35,J5,11,22,outer,14
111,GPIO_111,D6,IO_L5N_T0_AD13N_35,35,J5,12,24,outer,14
112,GPIO_112,E5,IO_L6P_T0_35,35,J5,13,26,outer,14
113,GPIO_113,D5,IO_L6N_T0_VREF_35,35,J5,15,29,inner,15
114,GPIO_114,C4,IO_L7P_T1_AD6P_35,35,J5,16,31,inner,15
115,GPIO_115,B4,IO_L7N_T1_AD6N_35,35,J5,17,33,inner,15
116,GPIO_116,C3,IO_L8P_T1_AD14P_35,35,J5,18,35,inner,15
117,GPIO_117,B3,IO_L8N_T1_AD14N_35,35,J5,15,30,outer,15
118,GPIO_118,A5,IO_L9P_T1_DQS_AD7P_35,35,J5,16,32,outer,15
119,GPIO_119,A4,IO_L9N_T1_DQS_AD7N_35,35,J5,17,34,outer,15
120,GPIO_120,A3,IO_L10P_T1_AD15P_35,35,J5,18,36,outer,15
121,GPIO_121,A2,IO_L10N_T1_AD15N_35,35,J5,20,39,inner,16
122,GPIO_122,C2,IO_L11P_T1_SRCC_35,35,J5,21,41,inner,16
123,GPIO_123,B2,IO_L11N_T1_SRCC_35,35,J5,22,43,inner,16
124,GPIO_124,C1,IO_L12P_T1_MRCC_35,35,J5,23,45,inner,16
125,GPIO_125,B1,IO_L12N_T1_MRCC_35,35,J5,20,40,outer,16
126,GPIO_126,F4,IO_L13P_T2_MRCC_35,35,J5,21,42,outer,16
127,GPIO_127,E4,IO_L13N_T2_MRCC_35,35,J5,22,44,outer,16
128,GPIO_128,E1,IO_L14P_T2_SRCC_35,35,J5,23,46,outer,16
