channel,signal,fpga_ball,fpga_pin_name,bank,connector,position,connector_pad,row,group
1,GPIO_001,U24,IO_0_13,13,J2,5,9,inner,1
2,GPIO_002,U25,IO_L1P_T0_13,13,J2,6,11,inner,1
3,GPIO_003,U26,IO_L1N_T0_13,13,J2,7,13,inner,1
4,GPIO_004,V26,IO_L2P_T0_13,13,J2,8,15,inner,1
5,GPIO_005,W26,IO_L2N_T0_13,13,J2,5,10,outer,1
6,GPIO_006,AB26,IO_L3P_T0_DQS_13,13,J2,6,12,outer,1
7,GPIO_007,AC26,IO_L3N_T0_DQS_13,13,J2,7,14,outer,1
8,GPIO_008,W25,IO_L4P_T0_13,13,J2,8,16,outer,1
9,GPIO_009,Y26,IO_L4N_T0_13,13,J2,10,19,inner,2
10,GPIO_010,Y25,IO_L5P_T0_13,13,J2,11,21,inner,2
11,GPIO_011,AA25,IO_L5N_T0_13,13,J2,12,23,inner,2
12,GPIO_012,V24,IO_L6P_T0_13,13,J2,13,25,inner,2
13,GPIO_013,W24,IO_L6N_T0_VREF_13,13,J2,10,20,outer,2
14,GPIO_014,AA24,IO_L7P_T1_13,13,J2,11,22,outer,2
15,GPIO_015,AB25,IO_L7N_T1_13,13,J2,12,24,outer,2
16,GPIO_016,AA22,IO_L8P_T1_13,13,J2,13,26,outer,2
17,GPIO_017,AA23,IO_L8N_T1_13,13,J2,15,29,inner,3
18,GPIO_018,AB24,IO_L9P_T1_DQS_13,13,J2,16,31,inner,3
19,GPIO_019,AC24,IO_L9N_T1_DQS_13,13,J2,17,33,inner,3
20,GPIO_020,V23,IO_L10P_T1_13,13,J2,18,35,inner,3
21,GPIO_021,W23,IO_L10N_T1_13,13,J2,15,30,outer,3
22,GPIO_022,Y22,IO_L11P_T1_SRCC_13,13,J2,16,32,outer,3
23,GPIO_023,Y23,IO_L11N_T1_SRCC_13,13,J2,17,34,outer,3
24,GPIO_024,U22,IO_L12P_T1_MRCC_13,13,J2,18,36,outer,3
25,GPIO_025,V22,IO_L12N_T1_MRCC_13,13,J2,20,39,inner,4
26,GPIO_026,U21,IO_L13P_T2_MRCC_13,13,J2,21,41,inner,4
27,GPIO_027,V21,IO_L13N_T2_MRCC_13,13,J2,22,43,inner,4
28,GPIO_028,W21,IO_L14P_T2_SRCC_13,13,J2,23,45,inner,4
29,GPIO_029,Y21,IO_L14N_T2_SRCC_13,13,J2,20,40,outer,4
30,GPIO_030,T20,IO_L15P_T2_DQS_13,13,J2,21,42,outer,4
31,GPIO_031,U20,IO_L15N_T2_DQS_13,13,J2,22,44,outer,4
32,GPIO_032,W20,IO_L16P_T2_13,13,J2,23,46,outer,4
33,GPIO_033,Y20,IO_L16N_T2_13,13,J3,5,9,inner,5
34,GPIO_034,T19,IO_L17P_T2_13,13,J3,6,11,inner,5
35,GPIO_035,U19,IO_L17N_T2_13,13,J3,7,13,inner,5
36,GPIO_036,V19,IO_L18P_T2_13,13,J3,8,15,inner,5
37,GPIO_037,W19,IO_L18N_T2_13,13,J3,5,10,outer,5
38,GPIO_038,V18,IO_L19P_T3_13,13,J3,6,12,outer,5
39,GPIO_039,W18,IO_L19N_T3_VREF_13,13,J3,7,14,outer,5
40,GPIO_040,T14,IO_L20P_T3_13,13,J3,8,16,outer,5
41,GPIO_041,T15,IO_L20N_T3_13,13,J3,10,19,inner,6
42,GPIO_042,T17,IO_L21P_T3_DQS_13,13,J3,11,21,inner,6
43,GPIO_043,T18,IO_L21N_T3_DQS_13,13,J3,12,23,inner,6
44,GPIO_044,U15,IO_L22P_T3_13,13,J3,13,25,inner,6
45,GPIO_045,U16,IO_L22N_T3_13,13,J3,10,20,outer,6
46,GPIO_046,U14,IO_L23P_T3_13,13,J3,11,22,outer,6
47,GPIO_047,V14,IO_L23N_T3_13,13,J3,12,24,outer,6
48,GPIO_048,V16,IO_L24P_T3_13,13,J3,13,26,outer,6
49,GPIO_049,V17,IO_L24N_T3_13,13,J3,15,29,inner,7
50,GPIO_050,U17,IO_25_13,13,J3,16,31,inner,7
51,GPIO_051,K18,IO_0_15,15,J3,17,33,inner,7
52,GPIO_052,K15,IO_L1P_T0_AD0P_15,15,J3,18,35,inner,7
53,GPIO_053,J16,IO_L1N_T0_AD0N_15,15,J3,15,30,outer,7
54,GPIO_054,J14,IO_L2P_T0_AD8P_15,15,J3,16,32,outer,7
55,GPIO_055,J15,IO_L2N_T0_AD8N_15,15,J3,17,34,outer,7
56,GPIO_056,K16,IO_L3P_T0_DQS_AD1P_15,15,J3,18,36,outer,7
57,GPIO_057,K17,IO_L3N_T0_DQS_AD1N_15,15,J3,20,39,inner,8
58,GPIO_058,M14,IO_L4P_T0_15,15,J3,21,41,inner,8
59,GPIO_059,L14,IO_L4N_T0_15,15,J3,22,43,inner,8
60,GPIO_060,M15,IO_L5P_T0_AD9P_15,15,J3,23,45,inner,8
61,GPIO_061,L15,IO_L5N_T0_AD9N_15,15,J3,20,40,outer,8
62,GPIO_062,M16,IO_L6P_T0_15,15,J3,21,42,outer,8
63,GPIO_063,M17,IO_L6N_T0_VREF_15,15,J3,22,44,outer,8
64,GPIO_064,J19,IO_L7P_T1_AD2P_15,15,J3,23,46,outer,8
65,GPIO_065,H19,IO_L7N_T1_AD2N_15,15,J4,5,9,inner,9
66,GPIO_066,L17,IO_L8P_T1_AD10P_15,15,J4,6,11,inner,9
67,GPIO_067,L18,IO_L8N_T1_AD10N_15,15,J4,7,13,inner,9
68,GPIO_068,K20,IO_L9P_T1_DQS_AD3P_15,15,J4,8,15,inner,9
69,GPIO_069,J20,IO_L9N_T1_DQS_AD3N_15,15,J4,5,10,outer,9
70,GPIO_070,J18,IO_L10P_T1_AD11P_15,15,J4,6,12,outer,9
71,GPIO_071,H18,IO_L10N_T1_AD11N_15,15,J4,7,14,outer,9
72,GPIO_072,G20,IO_L11P_T1_SRCC_15,15,J4,8,16,outer,9
73,GPIO_073,G21,IO_L11N_T1_SRCC_15,15,J4,10,19,inner,10
74,GPIO_074,K21,IO_L12P_T1_MRCC_15,15,J4,11,21,inner,10
75,GPIO_075,J21,IO_L12N_T1_MRCC_15,15,J4,12,23,inner,10
76,GPIO_076,H21,IO_L13P_T2_MRCC_15,15,J4,13,25,inner,10
77,GPIO_077,H22,IO_L13N_T2_MRCC_15,15,J4,10,20,outer,10
78,GPIO_078,J23,IO_L14P_T2_SRCC_15,15,J4,11,22,outer,10
79,GPIO_079,H23,IO_L14N_T2_SRCC_15,15,J4,12,24,outer,10
80,GPIO_080,G22,IO_L15P_T2_DQS_15,15,J4,13,26,outer,10
81,GPIO_081,F22,IO_L15N_T2_DQS_ADV_B_15,15,J4,15,29,inner,11
82,GPIO_082,J24,IO_L16P_T2_A28_15,15,J4,16,31,inner,11
83,GPIO_083,H24,IO_L16N_T2_A27_15,15,J4,17,33,inner,11
84,GPIO_084,F23,IO_L17P_T2_A26_15,15,J4,18,35,inner,11
85,GPIO_085,E23,IO_L17N_T2_A25_15,15,J4,15,30,outer,11
86,GPIO_086,K22,IO_L18P_T2_A24_15,15,J4,16,32,outer,11
87,GPIO_087,K23,IO_L18N_T2_A23_15,15,J4,17,34,outer,11
88,GPIO_088,G24,IO_L19P_T3_A22_15,15,J4,18,36,outer,11
89,GPIO_089,F24,IO_L19N_T3_A21_VREF_15,15,J4,20,39,inner,12
90,GPIO_090,E25,IO_L20P_T3_A20_15,15,J4,21,41,inner,12
91,GPIO_091,D25,IO_L20N_T3_A19_15,15,J4,22,43,inner,12
92,GPIO_092,E26,IO_L21P_T3_DQS_15,15,J4,23,45,inner,12
93,GPIO_093,D26,IO_L21N_T3_DQS_A18_15,15,J4,20,40,outer,12
94,GPIO_094,H26,IO_L22P_T3_A17_15,15,J4,21,42,outer,12
95,GPIO_095,G26,IO_L22N_T3_A16_15,15,J4,22,44,outer,12
96,GPIO_096,G25,IO_L23P_T3_FOE_B_15,15,J4,23,46,outer,12
97,GPIO_097,F25,IO_L23N_T3_FWE_B_15,15,J5,5,9,inner,13
98,GPIO_098,J25,IO_L24P_T3_RS1_15,15,J5,6,11,inner,13
99,GPIO_099,J26,IO_L24N_T3_RS0_15,15,J5,7,13,inner,13
100,GPIO_100,L19,IO_25_15,15,J5,8,15,inner,13
101,GPIO_101,H17,IO_0_16,16,J5,5,10,outer,13
102,GPIO_102,H14,IO_L1P_T0_16,16,J5,6,12,outer,13
103,GPIO_103,H15,IO_L1N_T0_16,16,J5,7,14,outer,13
